trade_date,target_time,node_seq,sector_type,direction,position,sector_code,sector_name,turnover_market_share_pct,turnover_1m_market_share_pct,turnover_market_share_delta_15m,turnover_1m_market_share_delta_15m,turnover_increment_15m,turnover_increment_market_share_pct,turnover_share_rank,turnover_share_rank_delta,up_ratio_delta_15m,new_high_ratio_delta_15m,turnover_1m_top1_share_pct,turnover_1m_top3_share_pct,turnover_1m_top5_share_pct
2026-08-28,10:00:15,42,style,DOWN,1,883404.TI,同花顺情绪指数,20.003934,16.341621,-1.551089,-4.267787,39177953036.00,16.675306,12,-1,0.028213,-0.062696,8.867042,16.941362,22.146072
2026-08-28,10:00:15,42,style,DOWN,2,883900.TI,昨日涨停表现,9.288690,5.707788,-1.505167,-4.648295,14234454556.00,6.058609,29,-3,-0.012821,-0.051282,15.477509,29.737110,41.634208
2026-08-28,10:00:15,42,style,DOWN,3,883986.TI,昨日非ST涨停表现,9.279915,5.702053,-1.503215,-4.642683,14223681956.00,6.054023,30,-3,-0.012987,-0.051948,15.493078,29.767022,41.676088
2026-08-28,10:00:15,42,style,DOWN,4,883423.TI,沪深主板昨日涨停,7.957722,4.841970,-1.303567,-4.463348,12123853704.00,5.160274,34,-5,-0.014706,-0.044118,18.245123,34.116656,47.819612
2026-08-28,10:00:15,42,style,DOWN,5,883978.TI,昨日打板表现,11.026097,8.101572,-1.242830,-4.013456,19639105953.00,8.358989,23,-3,0.011494,-0.057471,17.885645,34.022445,43.997278
2026-08-28,10:00:15,42,style,DOWN,6,883992.TI,昨日非ST打板,11.026097,8.101572,-1.242830,-4.013456,19639105953.00,8.358989,24,-3,0.011494,-0.057471,17.885645,34.022445,43.997278
2026-08-28,10:00:15,42,style,DOWN,7,883926.TI,高贝塔值,10.475345,7.270351,-1.241674,-4.704578,18350963103.00,7.810717,25,-1,0.040000,-0.070000,12.151042,27.726295,38.027621
2026-08-28,10:00:15,42,style,DOWN,8,883409.TI,近期强势,28.347811,26.091687,-1.238197,1.516886,60359131048.00,25.690647,5,0,0.091106,-0.058568,5.553564,13.672312,19.025048
2026-08-28,10:00:15,42,style,DOWN,9,883979.TI,昨日首板表现,7.751078,4.995227,-1.167222,-3.941036,12325796299.00,5.246227,35,-4,0.000000,-0.064516,17.685351,33.979061,47.573261
2026-08-28,10:00:15,42,style,DOWN,10,883993.TI,昨日非ST首板,7.742304,4.989491,-1.165269,-3.935423,12315023699.00,5.241641,36,-4,0.000000,-0.065574,17.705681,34.018122,47.627949
2026-08-28,10:30:15,72,concept,UP,1,885520.TI,沪股通,40.680512,40.575393,0.114805,-0.219168,49720796549.00,41.566892,4,0,0.037127,0.006086,1.632801,4.790279,7.585387
2026-08-28,10:30:15,72,concept,UP,2,886015.TI,创新药,3.825066,3.772340,0.107170,-0.894065,5565141054.00,4.652492,114,4,0.039568,0.000000,8.456178,20.830711,27.619128
2026-08-28,10:30:15,72,concept,UP,3,886002.TI,机器视觉,4.550194,4.957262,0.103483,-1.369975,6398461791.00,5.349153,106,0,-0.067729,-0.019920,6.563777,16.903701,23.636249
2026-08-28,10:30:15,72,concept,UP,4,885929.TI,专精特新,18.168983,18.173791,0.085887,-1.339672,22526260451.00,18.832092,15,1,-0.041463,-0.003252,2.944759,7.439854,11.011339
2026-08-28,10:30:15,72,concept,UP,5,885913.TI,医美概念,1.017570,0.772092,0.076692,-0.695543,1925450288.00,1.609688,263,3,0.000000,-0.021053,17.107610,40.888855,48.810959
2026-08-28,10:30:15,72,concept,UP,6,885945.TI,汽车芯片,6.638768,6.538918,0.068388,0.323232,8572628604.00,7.166770,72,1,-0.090909,-0.006993,9.557072,19.830620,27.465789
2026-08-28,10:30:15,72,concept,UP,7,886072.TI,高股息精选,3.745008,3.695102,0.067240,-0.047875,5100618041.00,4.264148,118,1,0.101754,-0.010526,7.824413,19.946400,27.135311
2026-08-28,10:30:15,72,concept,UP,8,886046.TI,MR(混合现实),2.033994,2.516728,0.066416,0.361830,3046360112.00,2.546776,181,5,-0.070423,0.000000,12.928835,36.870484,49.724258
2026-08-28,10:30:15,72,concept,UP,9,886021.TI,国企改革,23.644349,25.301716,0.065734,2.661170,28889576050.00,24.151863,11,0,0.063395,0.018405,2.593620,6.332389,9.690714
2026-08-28,10:30:15,72,concept,UP,10,886059.TI,智能座舱,5.020517,4.871054,0.062737,-0.370184,6584749841.00,5.504891,98,1,-0.040936,-0.017544,8.252787,19.106906,26.496232
2026-08-28,10:30:15,72,concept,DOWN,1,885556.TI,5G,25.611835,21.783527,-0.392258,-1.539733,27013348326.00,22.583325,8,0,-0.041850,-0.002203,5.427761,12.247813,17.581490
2026-08-28,10:30:15,72,concept,DOWN,2,885959.TI,PCB概念,13.571294,11.225384,-0.319816,-0.657970,13279906563.00,11.102084,26,0,-0.042017,0.008403,5.845950,15.038696,21.414234
