"scheduled_time","node_seq","thscode","ticker","stock_name","candidate_rank","candidate_score_v1","candidate_hit_count","candidate_reason_mask","hit_price_strength","hit_turnover_absolute","hit_turnover_acceleration","hit_new_high","hit_limit_strength","hit_core_sector","hit_sector_leader","hit_persistence","price_change_ratio_pct","price_change_1m_pct","price_change_rank_market","price_change_1m_rank_market","turnover","turnover_delta_1m","turnover_growth_1m","turnover_rank_market","turnover_delta_1m_rank_market","turnover_top_pct_market","turnover_delta_1m_top_pct_market","new_high_flag","is_limit_up","is_limit_break","continue_day_cnt","seal_money","core_sector_count","best_core_sector_type","best_core_sector_name","best_core_sector_candidate_rank","best_sector_turnover_rank","best_sector_turnover_1m_rank","best_sector_price_rank","best_sector_turnover_share_pct","candidate_hit_count_3","candidate_hit_count_5","state_data_status","state_source_scheduled_time","state_source_age_seconds"
"2026-08-28 10:30:15.000",72,"300308.SZ","300308","中际旭创",4,75,6,231,1,1,1,0,0,1,1,1,3.07925,-0.023516237402021467,420,3936,15279392000,95548000,-0.10925074813316304,1,1,0.00017979144192736425,0.00017979144192736425,0,0,0,\N,\N,3,"industry","通信网络设备及器件",3,1,1,10,26.806652883234598,3,5,"FALLBACK","2026-08-28 10:29:15.000",60
"2026-08-28 10:30:15.000",72,"600183.SH","600183","生益科技",5,75,6,231,1,1,1,0,0,1,1,1,6.590055,0.12660758312788012,121,1098,9128025100,48402100,1.5444925166777939,3,8,0.0005393743257820927,0.001438331535418914,0,0,0,\N,\N,2,"concept","2026中报预增",7,2,6,18,2.9950267253304665,3,5,"FALLBACK","2026-08-28 10:29:15.000",60
"2026-08-28 10:30:15.000",72,"688256.SH","688256","寒武纪",6,75,6,231,1,1,1,0,0,1,1,1,3.197519,-0.08499394880039368,394,4444,7103364900,30985100,-0.2623842160015807,6,23,0.0010787486515641855,0.004135203164329378,0,0,0,\N,\N,4,"concept","阿里巴巴概念",13,1,5,48,5.992143706561546,3,5,"FALLBACK","2026-08-28 10:29:15.000",60
"2026-08-28 10:30:15.000",72,"601138.SH","601138","工业富联",7,75,6,231,1,1,1,0,0,1,1,1,3.272784,0.28892944038929613,376,280,5791560700,53538800,0.45150996749347283,9,4,0.0016181229773462784,0.000719165767709457,0,0,0,\N,\N,6,"concept","2026中报预增",7,5,2,47,1.900288275705292,3,5,"FALLBACK","2026-08-28 10:29:15.000",60
"2026-08-28 10:30:15.000",72,"000636.SZ","000636","风华高科",8,75,6,231,1,1,1,0,0,1,1,1,4.139715,0.14217167229428895,259,962,5595708800,32007700,0.652590328476575,12,22,0.002157497303128371,0.003955411722402014,0,0,0,\N,\N,4,"concept","国企改革",1,1,6,50,2.2687412529009774,3,5,"FALLBACK","2026-08-28 10:29:15.000",60
"2026-08-28 10:30:15.000",72,"001309.SZ","001309","德明利",9,75,6,231,1,1,1,0,0,1,1,1,3.064501,0.21040723981899934,424,552,4693115100,15385600,-0.08743334697533167,17,100,0.0030564545127651924,0.017979144192736426,0,0,0,\N,\N,1,"style","深市新主板",2,4,32,95,1.6817951171069152,3,5,"FALLBACK","2026-08-28 10:29:15.000",60
"2026-08-28 10:30:15.000",72,"300475.SZ","300475","香农芯创",10,75,6,231,1,1,1,0,0,1,1,1,7.149338,-0.028216704288930305,104,3963,4295082300,29079500,0.2721748526780441,21,29,0.0037756202804746495,0.005213951815893563,0,0,0,\N,\N,5,"style","减持新规(不可减持)",3,5,13,52,1.126342116563484,3,5,"FALLBACK","2026-08-28 10:29:15.000",60
"2026-08-28 10:30:15.000",72,"300456.SZ","300456","赛微电子",11,75,6,231,1,1,1,0,0,1,1,1,10.604425,0.0732421875,16,1645,3534707600,11918100,0.3829471216885785,28,128,0.005034160373966199,0.023013304566702624,0,0,0,\N,\N,3,"style","先进制造",8,5,29,1,1.440945239649398,3,5,"FALLBACK","2026-08-28 10:29:15.000",60
"2026-08-28 10:30:15.000",72,"688183.SH","688183","生益电子",12,75,6,231,1,1,1,0,0,1,1,1,12.408579,0.014623089858867289,11,2151,3086202300,16258500,0.8065200724452495,37,91,0.0066522833513124775,0.016361021215390147,0,0,0,\N,\N,2,"concept","2026中报预增",7,21,45,2,1.0126241182527373,3,5,"FALLBACK","2026-08-28 10:29:15.000",60
"2026-08-28 10:30:15.000",72,"300319.SZ","300319","麦捷科技",13,75,6,231,1,1,1,0,0,1,1,1,13.849394,0.4646840148698983,8,88,2950920700,12295000,-0.41020142856457564,44,123,0.007910823444804028,0.022114347357065803,0,0,0,\N,\N,2,"concept","国企改革",1,8,32,1,1.19643029425145,3,5,"FALLBACK","2026-08-28 10:29:15.000",60
