"strategic_theme","strategic_subtheme","watch_level","sector_type","sector_code","sector_name","scheduled_time","state_data_status","state_source_scheduled_time","state_source_age_seconds","index_change_ratio_pct","current_class_rank","current_candidate_rank","turnover_market_share_pct","turnover_1m_market_share_pct","turnover_market_share_delta_15m","turnover_1m_market_share_delta_15m","up_ratio","new_high_ratio","limit_up_count","limit_break_count","turnover_1m_top1_share_pct","turnover_1m_top3_share_pct","turnover_1m_top5_share_pct","turnover_rank_last_5"
"AI能源基础设施","智能电网","IMPORTANT","concept","885311.TI","智能电网","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.137422,62,\N,7.001744070303372,6.102799489794125,0.00001860793687402662,-0.17790477789053494,0.41155234657039713,0,5,1,12.849280385456598,29.44635634151348,39.86849471962016,"[('2026-08-28 14:00:15.000',62),('2026-08-28 14:15:15.000',62),('2026-08-28 14:30:15.000',62),('2026-08-28 14:45:15.000',62),('2026-08-28 15:00:00.000',62)]"
"AI能源基础设施","输电","IMPORTANT","concept","885425.TI","特高压","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.275988,92,\N,5.074412980334468,4.459796189164807,-0.020707151769673082,-0.30016595909339383,0.42424242424242425,0,3,1,17.58299672328107,39.646265544658604,53.65931614038565,"[('2026-08-28 14:00:15.000',92),('2026-08-28 14:15:15.000',92),('2026-08-28 14:30:15.000',92),('2026-08-28 14:45:15.000',92),('2026-08-28 15:00:00.000',92)]"
"AI能源基础设施","电网设备","IMPORTANT","industry","881278.TI","电网设备","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,0.297618,20,\N,2.0505253849939717,1.5600449754764754,-0.004473448710006878,-0.38968389128677283,0.5142857142857142,0,4,1,18.09325876670048,32.01381888146324,40.430516286286675,"[('2026-08-28 14:00:15.000',20),('2026-08-28 14:15:15.000',19),('2026-08-28 14:30:15.000',20),('2026-08-28 14:45:15.000',20),('2026-08-28 15:00:00.000',20)]"
"AI能源基础设施","电力供给","IMPORTANT","industry","881145.TI","电力","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,0.036085,35,\N,1.2516071785099387,1.4996894143379655,0.029057534552389575,0.03435097895385364,0.5181818181818182,0,1,0,22.102183774415458,42.14608462812592,48.75154046025655,"[('2026-08-28 14:00:15.000',41),('2026-08-28 14:15:15.000',40),('2026-08-28 14:30:15.000',40),('2026-08-28 14:45:15.000',38),('2026-08-28 15:00:00.000',35)]"
"AI能源基础设施","电源设备","IMPORTANT","industry","881282.TI","其他电源设备","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.991613,63,\N,0.7803725514424652,0.6966104778497725,-0.006163462208029102,0.009998789505512473,0.3142857142857143,0,0,0,17.115822503419313,41.66186442450873,58.179838665528884,"[('2026-08-28 14:00:15.000',60),('2026-08-28 14:15:15.000',60),('2026-08-28 14:30:15.000',61),('2026-08-28 14:45:15.000',62),('2026-08-28 15:00:00.000',63)]"
"AI软件商业化","人工智能综合","IMPORTANT","concept","885728.TI","人工智能","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,0.090652,14,9,18.798201683784406,20.23463010096269,0.03273668504078486,0.40711680218448976,0.5032317636195752,0.0009233610341643582,19,1,8.29202639683065,19.730298890165606,23.99072430265992,"[('2026-08-28 14:00:15.000',13),('2026-08-28 14:15:15.000',14),('2026-08-28 14:30:15.000',14),('2026-08-28 14:45:15.000',14),('2026-08-28 15:00:00.000',14)]"
"AI软件商业化","AI应用","IMPORTANT","concept","886108.TI","AI应用","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,0.38677,42,\N,8.79276035672098,8.712500309692139,0.02041234153388949,-1.8496461577234502,0.539179104477612,0,9,1,8.53913985360421,16.79234219568399,21.614601717539223,"[('2026-08-28 14:00:15.000',42),('2026-08-28 14:15:15.000',42),('2026-08-28 14:30:15.000',42),('2026-08-28 14:45:15.000',43),('2026-08-28 15:00:00.000',42)]"
"AI软件商业化","智能体","IMPORTANT","concept","886099.TI","AI智能体","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,0.319912,47,\N,8.354654478490524,7.887307369290092,-0.03368718045996211,1.16172530310652,0.5418502202643172,0,8,1,5.492245936790608,14.649270713666422,19.665190937964912,"[('2026-08-28 14:00:15.000',47),('2026-08-28 14:15:15.000',47),('2026-08-28 14:30:15.000',47),('2026-08-28 14:45:15.000',47),('2026-08-28 15:00:00.000',47)]"
"AI软件商业化","生成式AI","IMPORTANT","concept","886019.TI","AIGC概念","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,0.604167,84,\N,5.680693305766452,5.1620939251379045,0.01456924171650087,-2.534327843074929,0.5699658703071673,0,9,1,14.412224902909657,26.393958658991313,33.06048888639195,"[('2026-08-28 14:00:15.000',83),('2026-08-28 14:15:15.000',84),('2026-08-28 14:30:15.000',84),('2026-08-28 14:45:15.000',84),('2026-08-28 15:00:00.000',84)]"
"AI软件商业化","云计算","IMPORTANT","concept","885362.TI","云计算","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,0.215054,85,\N,5.5417589649143455,6.713832273913749,-0.01570276103474555,1.988640550076747,0.4977578475336323,0,6,1,23.392296362218524,36.232672585127915,41.7108267057857,"[('2026-08-28 14:00:15.000',85),('2026-08-28 14:15:15.000',85),('2026-08-28 14:30:15.000',85),('2026-08-28 14:45:15.000',85),('2026-08-28 15:00:00.000',85)]"
